Epoch,o_acc,o_valacc,Ex1_trainacc,Ex1_valacc,Ex2_trainacc,Ex2_valacc
1,0.4565,0.5272,0.467200011,0.531899989,0.358280003,0.461499989
2,0.5903,0.6315,0.62401998,0.671199977,0.507619977,0.562300026
3,0.5903,0.6188,0.674359977,0.705299973,0.579620004,0.600399971
4,0.6792,0.6545,0.704620004,0.709999979,0.621379972,0.627200007
5,0.7003,0.6957,0.728720009,0.718999982,0.650960028,0.642099977
6,0.7191,0.716,0.745100021,0.725499988,0.67523998,0.666599989
7,0.7341,0.6897,0.759540021,0.759000003,0.694360018,0.680899978
8,0.7467,0.5946,0.775200009,0.713199973,0.708220005,0.697099984
9,0.7582,0.7047,0.786339998,0.760699987,0.72262001,0.700800002
10,0.7697,0.7092,0.799740016,0.768100023,0.735080004,0.698499978
