Epoch,o_acc,o_valacc,Ex1_trainacc,Ex1_valacc,Ex2_trainacc,Ex2_valacc
1,0.4565,0.5272,0.44600001,0.541400015,0.424299985,0.550999999
2,0.5903,0.6315,0.582419991,0.562900007,0.571560025,0.600399971
3,0.5903,0.6188,0.643220007,0.656199992,0.629119992,0.632000029
4,0.6792,0.6545,0.675779998,0.662400007,0.667140007,0.671299994
5,0.7003,0.6957,0.702120006,0.654999971,0.693300009,0.691699982
6,0.7191,0.716,0.721260011,0.684300005,0.713440001,0.702199996
7,0.7341,0.6897,0.737640023,0.728799999,0.730159998,0.729300022
8,0.7467,0.5946,0.752240002,0.707899988,0.750039995,0.656899989
9,0.7582,0.7047,0.765079975,0.701699972,0.760500014,0.725899994
10,0.7697,0.7092,0.774800003,0.73299998,0.775380015,0.71329999
